index,close_time,transaction_id,positions,SOLUSDT_units,DOTUSDT_units,entry_SOLUSDT_price,entry_DOTUSDT_price,historical_SOLUSDT_mid,historical_DOTUSDT_mid,historical_SOLUSDT_vol,historical_DOTUSDT_vol,signal,portfolio_value,SOLUSDT_raw_pnl,DOTUSDT_raw_pnl,SOLUSDT_cost,DOTUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 12:29:59.999,,,0.0,0.0,,,21.345,5.795,2453.71,2901.53,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,
1.0,2023-01-20 12:30:59.999,,,0.0,0.0,,,21.36,5.797,4736.69,3603.65,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2.0,2023-01-20 12:31:59.999,,,0.0,0.0,,,21.36,5.798,3157.96,191.36,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3.0,2023-01-20 12:32:59.999,,,0.0,0.0,,,21.335,5.794499999999999,3736.48,921.55,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4.0,2023-01-20 12:33:59.999,,,0.0,0.0,,,21.335,5.7955000000000005,4773.35,2089.79,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5.0,2023-01-20 12:34:59.999,,,0.0,0.0,,,21.35,5.7975,1580.04,624.97,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6.0,2023-01-20 12:35:59.999,,,0.0,0.0,,,21.33,5.797000000000001,1142.94,2856.16,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7.0,2023-01-20 12:36:59.999,,,0.0,0.0,,,21.315,5.798,3136.16,734.42,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8.0,2023-01-20 12:37:59.999,,,0.0,0.0,,,21.295,5.794499999999999,2072.63,402.95,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9.0,2023-01-20 12:38:59.999,,,0.0,0.0,,,21.315,5.797,3705.56,929.69,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
10.0,2023-01-20 12:39:59.999,,,0.0,0.0,,,21.32,5.803,870.71,1519.03,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
