index,close_time,transaction_id,positions,LINKUSDT_units,LUNCUSDT_units,entry_LINKUSDT_price,entry_LUNCUSDT_price,historical_LINKUSDT_mid,historical_LUNCUSDT_mid,historical_LINKUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,LINKUSDT_raw_pnl,LUNCUSDT_raw_pnl,LINKUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 16:38:59.999,,,0.0,0.0,,,6.579000000000001,0.00017301,791.08,14517627.44,0.0,10000,0,0,0,0,0,0,0,,
1.0,2023-01-20 16:39:59.999,,,0.0,0.0,,,6.580500000000001,0.0001728799999999,4653.86,32455996.74,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
2.0,2023-01-20 16:40:59.999,,,0.0,0.0,,,6.5885,0.00017286,3628.73,27627157.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
3.0,2023-01-20 16:41:59.999,,,0.0,0.0,,,6.584,0.0001727,2350.8,69620710.98,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
4.0,2023-01-20 16:42:59.999,,,0.0,0.0,,,6.580500000000001,0.000172855,21112.71,15042599.63,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
5.0,2023-01-20 16:43:59.999,,,0.0,0.0,,,6.5905000000000005,0.00017303,2906.66,63087458.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
6.0,2023-01-20 16:44:59.999,,,0.0,0.0,,,6.5905000000000005,0.0001729449999999,4814.22,45342526.92,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
7.0,2023-01-20 16:45:59.999,,,0.0,0.0,,,6.5885,0.00017302,10017.9,156653929.26,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
8.0,2023-01-20 16:46:59.999,,,0.0,0.0,,,6.581,0.000172815,2970.07,53185136.29,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
9.0,2023-01-20 16:47:59.999,,,0.0,0.0,,,6.5935,0.00017322,12586.1,645571074.18,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
10.0,2023-01-20 16:48:59.999,,,0.0,0.0,,,6.598,0.000173655,50374.77,116962082.94,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
11.0,2023-01-20 16:49:59.999,,,0.0,0.0,,,6.605499999999999,0.00017366,1488.93,44924088.45,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
12.0,2023-01-20 16:50:59.999,,,0.0,0.0,,,6.5965,0.0001735199999999,3673.04,61625039.91,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
13.0,2023-01-20 16:51:59.999,,,0.0,0.0,,,6.596,0.0001737,2426.39,28068832.48,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
14.0,2023-01-20 16:52:59.999,,,0.0,0.0,,,6.6035,0.0001738,4408.1,54875479.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
15.0,2023-01-20 16:53:59.999,,,0.0,0.0,,,6.611000000000001,0.00017388,8847.55,21475748.59,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
16.0,2023-01-20 16:54:59.999,,,0.0,0.0,,,6.613,0.00017391,2296.63,197158354.89,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
17.0,2023-01-20 16:55:59.999,,,0.0,0.0,,,6.6035,0.000173715,2614.75,40540682.03,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
18.0,2023-01-20 16:56:59.999,,,0.0,0.0,,,6.5995,0.000173485,1385.31,21526850.86,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
19.0,2023-01-20 16:57:59.999,,,0.0,0.0,,,6.603,0.000173445,1264.7,54788710.74,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
20.0,2023-01-20 16:58:59.999,,,0.0,0.0,,,6.59,0.00017328,9946.78,32319343.11,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
21.0,2023-01-20 16:59:59.999,,,0.0,0.0,,,6.580500000000001,0.00017311,2010.99,128790410.32,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
22.0,2023-01-20 17:00:59.999,,,0.0,0.0,,,6.5915,0.0001733999999999,10083.44,53422891.49,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
23.0,2023-01-20 17:01:59.999,,,0.0,0.0,,,6.599,0.00017355,12099.6,47123653.17,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
24.0,2023-01-20 17:02:59.999,,,0.0,0.0,,,6.5975,0.000173415,4348.67,64994347.93,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
25.0,2023-01-20 17:03:59.999,,,0.0,0.0,,,6.605,0.00017371,11803.34,86452027.83,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
26.0,2023-01-20 17:04:59.999,,,0.0,0.0,,,6.61,0.0001738749999999,2814.92,116256192.34,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
27.0,2023-01-20 17:05:59.999,,,0.0,0.0,,,6.608499999999999,0.00017375,4280.14,34223981.89,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
